Surprise,Castle,Saints vs Eagles,Cowboys vs Eagles
216,0.259259259,0.205882353,0.24137931
217,0.296296296,0.205882353,0.24137931
218,0.296296296,0.205882353,0.24137931
219,0.296296296,0.205882353,0.24137931
220,0.296296296,0.205882353,0.24137931
221,0.296296296,0.205882353,0.24137931
222,0.296296296,0.205882353,0.24137931
223,0.296296296,0.205882353,0.24137931
224,0.296296296,0.205882353,0.24137931
225,0.333333333,0.235294118,0.24137931
226,0.333333333,0.235294118,0.24137931
227,0.333333333,0.235294118,0.24137931
228,0.333333333,0.235294118,0.24137931
229,0.333333333,0.235294118,0.24137931
230,0.333333333,0.235294118,0.24137931
231,0.333333333,0.235294118,0.24137931
232,0.333333333,0.235294118,0.24137931
233,0.333333333,0.235294118,0.24137931
234,0.333333333,0.235294118,0.24137931
235,0.333333333,0.235294118,0.24137931
236,0.333333333,0.235294118,0.24137931
237,0.333333333,0.235294118,0.24137931
238,0.333333333,0.235294118,0.24137931
239,0.333333333,0.235294118,0.275862069
240,0.333333333,0.235294118,0.275862069
241,0.333333333,0.235294118,0.275862069
242,0.333333333,0.235294118,0.275862069
243,0.333333333,0.235294118,0.275862069
244,0.333333333,0.235294118,0.275862069
245,0.333333333,0.235294118,0.275862069
246,0.333333333,0.235294118,0.275862069
247,0.333333333,0.235294118,0.275862069
248,0.333333333,0.235294118,0.275862069
249,0.333333333,0.235294118,0.275862069
250,0.333333333,0.235294118,0.275862069
251,0.333333333,0.235294118,0.275862069
252,0.333333333,0.235294118,0.275862069
253,0.333333333,0.235294118,0.275862069
254,0.333333333,0.235294118,0.275862069
255,0.333333333,0.235294118,0.275862069
256,0.333333333,0.235294118,0.275862069
257,0.333333333,0.235294118,0.275862069
258,0.333333333,0.235294118,0.275862069
259,0.333333333,0.235294118,0.275862069
260,0.333333333,0.235294118,0.275862069
261,0.333333333,0.235294118,0.275862069
262,0.333333333,0.235294118,0.310344828
263,0.333333333,0.235294118,0.310344828
264,0.333333333,0.235294118,0.310344828
265,0.333333333,0.235294118,0.310344828
266,0.333333333,0.235294118,0.310344828
267,0.333333333,0.235294118,0.310344828
268,0.333333333,0.235294118,0.310344828
269,0.333333333,0.235294118,0.310344828
270,0.333333333,0.235294118,0.310344828
271,0.333333333,0.235294118,0.310344828
272,0.333333333,0.235294118,0.310344828
273,0.333333333,0.264705882,0.310344828
274,0.333333333,0.264705882,0.310344828
275,0.333333333,0.264705882,0.310344828
276,0.333333333,0.264705882,0.310344828
277,0.333333333,0.264705882,0.310344828
278,0.333333333,0.264705882,0.310344828
279,0.333333333,0.264705882,0.310344828
280,0.333333333,0.264705882,0.310344828
281,0.333333333,0.264705882,0.310344828
282,0.333333333,0.264705882,0.310344828
283,0.333333333,0.264705882,0.310344828
284,0.37037037,0.264705882,0.310344828
285,0.37037037,0.264705882,0.310344828
286,0.37037037,0.264705882,0.310344828
287,0.37037037,0.264705882,0.310344828
288,0.407407407,0.264705882,0.310344828
289,0.407407407,0.264705882,0.310344828
290,0.407407407,0.264705882,0.310344828
291,0.407407407,0.264705882,0.310344828
292,0.407407407,0.264705882,0.310344828
293,0.407407407,0.264705882,0.310344828
294,0.407407407,0.264705882,0.310344828
295,0.407407407,0.264705882,0.310344828
296,0.407407407,0.264705882,0.310344828
297,0.407407407,0.264705882,0.310344828
298,0.407407407,0.264705882,0.310344828
299,0.407407407,0.264705882,0.310344828
300,0.407407407,0.264705882,0.310344828
301,0.407407407,0.264705882,0.310344828
302,0.407407407,0.264705882,0.310344828
303,0.407407407,0.264705882,0.310344828
304,0.407407407,0.264705882,0.310344828
305,0.407407407,0.264705882,0.310344828
306,0.407407407,0.264705882,0.310344828
307,0.407407407,0.294117647,0.310344828
308,0.407407407,0.294117647,0.310344828
309,0.407407407,0.294117647,0.310344828
310,0.407407407,0.294117647,0.310344828
311,0.407407407,0.294117647,0.310344828
312,0.407407407,0.294117647,0.310344828
313,0.407407407,0.294117647,0.310344828
314,0.407407407,0.294117647,0.310344828
315,0.407407407,0.294117647,0.310344828
316,0.407407407,0.294117647,0.310344828
317,0.407407407,0.294117647,0.310344828
318,0.407407407,0.294117647,0.310344828
319,0.407407407,0.294117647,0.310344828
320,0.407407407,0.294117647,0.310344828
321,0.407407407,0.294117647,0.310344828
322,0.407407407,0.294117647,0.310344828
323,0.407407407,0.294117647,0.310344828
324,0.407407407,0.294117647,0.310344828
325,0.407407407,0.294117647,0.310344828
326,0.407407407,0.294117647,0.310344828
327,0.407407407,0.294117647,0.310344828
328,0.407407407,0.294117647,0.310344828
329,0.407407407,0.294117647,0.310344828
330,0.407407407,0.294117647,0.310344828
331,0.407407407,0.294117647,0.310344828
332,0.407407407,0.294117647,0.310344828
333,0.407407407,0.294117647,0.310344828
334,0.407407407,0.294117647,0.310344828
335,0.407407407,0.294117647,0.310344828
336,0.407407407,0.323529412,0.310344828
337,0.407407407,0.323529412,0.310344828
338,0.407407407,0.323529412,0.310344828
339,0.407407407,0.323529412,0.310344828
340,0.407407407,0.323529412,0.310344828
341,0.407407407,0.323529412,0.310344828
342,0.407407407,0.323529412,0.310344828
343,0.407407407,0.323529412,0.310344828
344,0.407407407,0.323529412,0.310344828
345,0.407407407,0.323529412,0.310344828
346,0.407407407,0.323529412,0.310344828
347,0.407407407,0.323529412,0.310344828
348,0.407407407,0.323529412,0.310344828
349,0.407407407,0.323529412,0.344827586
350,0.407407407,0.323529412,0.344827586
351,0.444444444,0.323529412,0.344827586
352,0.444444444,0.323529412,0.344827586
353,0.444444444,0.323529412,0.344827586
354,0.444444444,0.323529412,0.344827586
355,0.444444444,0.323529412,0.344827586
356,0.444444444,0.323529412,0.344827586
357,0.444444444,0.323529412,0.344827586
358,0.444444444,0.323529412,0.344827586
359,0.444444444,0.323529412,0.344827586
360,0.444444444,0.323529412,0.344827586
361,0.444444444,0.323529412,0.344827586
362,0.444444444,0.323529412,0.344827586
363,0.444444444,0.323529412,0.344827586
364,0.444444444,0.323529412,0.344827586
365,0.444444444,0.323529412,0.344827586
366,0.444444444,0.323529412,0.379310345
367,0.444444444,0.323529412,0.379310345
368,0.444444444,0.323529412,0.379310345
369,0.444444444,0.323529412,0.379310345
370,0.444444444,0.323529412,0.379310345
371,0.444444444,0.323529412,0.379310345
372,0.444444444,0.323529412,0.379310345
373,0.444444444,0.323529412,0.379310345
374,0.444444444,0.323529412,0.379310345
375,0.444444444,0.323529412,0.379310345
376,0.444444444,0.323529412,0.379310345
377,0.444444444,0.323529412,0.379310345
378,0.444444444,0.323529412,0.379310345
379,0.444444444,0.323529412,0.379310345
380,0.444444444,0.323529412,0.379310345
381,0.444444444,0.323529412,0.379310345
382,0.444444444,0.323529412,0.379310345
383,0.444444444,0.323529412,0.379310345
384,0.444444444,0.323529412,0.379310345
385,0.444444444,0.323529412,0.379310345
386,0.444444444,0.323529412,0.379310345
387,0.444444444,0.323529412,0.379310345
388,0.444444444,0.323529412,0.379310345
389,0.444444444,0.323529412,0.379310345
390,0.444444444,0.323529412,0.379310345
391,0.444444444,0.323529412,0.379310345
392,0.444444444,0.323529412,0.379310345
393,0.444444444,0.323529412,0.379310345
394,0.444444444,0.323529412,0.379310345
