Surprise,Cowboys vs Eagles,Saints vs Eagles,Castle
0.075410893,0.137931034,0.096774194,0.703703704
0.075733161,0.137931034,0.096774194,0.703703704
0.07605543,0.137931034,0.096774194,0.703703704
0.076377699,0.137931034,0.096774194,0.703703704
0.076699968,0.137931034,0.096774194,0.703703704
0.077022237,0.137931034,0.096774194,0.703703704
0.077344505,0.137931034,0.096774194,0.703703704
0.077666774,0.137931034,0.096774194,0.703703704
0.077989043,0.137931034,0.096774194,0.740740741
0.078311312,0.137931034,0.096774194,0.740740741
0.07863358,0.137931034,0.096774194,0.740740741
0.078955849,0.137931034,0.096774194,0.740740741
0.079278118,0.137931034,0.096774194,0.740740741
0.079600387,0.137931034,0.096774194,0.740740741
0.079922655,0.137931034,0.096774194,0.740740741
0.080244924,0.137931034,0.096774194,0.740740741
0.080567193,0.137931034,0.096774194,0.740740741
0.080889462,0.137931034,0.096774194,0.740740741
0.081211731,0.137931034,0.096774194,0.740740741
0.081533999,0.137931034,0.096774194,0.740740741
0.081856268,0.137931034,0.096774194,0.740740741
0.082178537,0.137931034,0.096774194,0.740740741
0.082500806,0.137931034,0.096774194,0.740740741
0.082823074,0.137931034,0.096774194,0.740740741
0.083145343,0.137931034,0.096774194,0.740740741
0.083467612,0.137931034,0.096774194,0.740740741
0.083789881,0.137931034,0.096774194,0.740740741
0.08411215,0.137931034,0.096774194,0.740740741
0.084434418,0.172413793,0.096774194,0.740740741
0.084756687,0.172413793,0.096774194,0.740740741
0.085078956,0.172413793,0.096774194,0.740740741
0.085401225,0.172413793,0.096774194,0.740740741
0.085723493,0.172413793,0.096774194,0.740740741
0.086045762,0.172413793,0.096774194,0.740740741
0.086368031,0.172413793,0.096774194,0.740740741
0.0866903,0.172413793,0.096774194,0.740740741
0.087012568,0.172413793,0.096774194,0.740740741
0.087334837,0.172413793,0.096774194,0.740740741
0.087657106,0.172413793,0.096774194,0.740740741
0.087979375,0.172413793,0.096774194,0.740740741
0.088301644,0.172413793,0.096774194,0.740740741
0.088623912,0.172413793,0.096774194,0.740740741
0.088946181,0.172413793,0.096774194,0.740740741
0.08926845,0.172413793,0.096774194,0.740740741
0.089590719,0.172413793,0.096774194,0.740740741
0.089912987,0.172413793,0.096774194,0.740740741
0.090235256,0.172413793,0.096774194,0.740740741
0.090557525,0.172413793,0.096774194,0.740740741
0.090879794,0.172413793,0.096774194,0.740740741
0.091202063,0.172413793,0.096774194,0.740740741
0.091524331,0.172413793,0.096774194,0.740740741
0.0918466,0.172413793,0.096774194,0.740740741
0.092168869,0.172413793,0.096774194,0.740740741
0.092491138,0.172413793,0.096774194,0.740740741
0.092813406,0.172413793,0.096774194,0.740740741
0.093135675,0.172413793,0.096774194,0.740740741
0.093457944,0.172413793,0.096774194,0.740740741
0.093780213,0.172413793,0.096774194,0.740740741
0.094102481,0.172413793,0.096774194,0.740740741
0.09442475,0.172413793,0.096774194,0.740740741
0.094747019,0.172413793,0.096774194,0.740740741
0.095069288,0.172413793,0.096774194,0.740740741
0.095391557,0.172413793,0.096774194,0.740740741
0.095713825,0.172413793,0.096774194,0.740740741
0.096036094,0.172413793,0.096774194,0.740740741
0.096358363,0.172413793,0.096774194,0.740740741
0.096680632,0.172413793,0.096774194,0.740740741
0.0970029,0.172413793,0.096774194,0.740740741
0.097325169,0.172413793,0.096774194,0.740740741
0.097647438,0.172413793,0.096774194,0.740740741
0.097969707,0.172413793,0.096774194,0.740740741
0.098291976,0.172413793,0.096774194,0.740740741
0.098614244,0.172413793,0.096774194,0.740740741
0.098936513,0.172413793,0.129032258,0.740740741
0.099258782,0.172413793,0.129032258,0.740740741
0.099581051,0.172413793,0.129032258,0.740740741
0.099903319,0.172413793,0.129032258,0.740740741
0.100225588,0.172413793,0.129032258,0.740740741
0.100547857,0.172413793,0.129032258,0.740740741
0.100870126,0.172413793,0.129032258,0.740740741
0.101192394,0.172413793,0.129032258,0.740740741
0.101514663,0.172413793,0.129032258,0.740740741
0.101836932,0.172413793,0.129032258,0.740740741
0.102159201,0.172413793,0.129032258,0.740740741
0.10248147,0.172413793,0.129032258,0.740740741
0.102803738,0.172413793,0.129032258,0.740740741
0.103126007,0.172413793,0.129032258,0.740740741
0.103448276,0.172413793,0.129032258,0.740740741
0.103770545,0.172413793,0.129032258,0.740740741
